id,name,height,weight,types,abilities,base_stats,front_default_sprite,back_default_sprite,official_artwork
32,nidoran-m,5,90,[poison],[poison-point rivalry hustle],"{""attack"":57,""defense"":40,""hp"":46,""special-attack"":40,""special-defense"":40,""speed"":50}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png
33,nidorino,9,195,[poison],[poison-point rivalry hustle],"{""attack"":72,""defense"":57,""hp"":61,""special-attack"":55,""special-defense"":55,""speed"":65}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png
34,nidoking,14,620,[poison ground],[poison-point rivalry sheer-force],"{""attack"":102,""defense"":77,""hp"":81,""special-attack"":85,""special-defense"":75,""speed"":85}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png
35,clefairy,6,75,[fairy],[cute-charm magic-guard friend-guard],"{""attack"":45,""defense"":48,""hp"":70,""special-attack"":60,""special-defense"":65,""speed"":35}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png
36,clefable,13,400,[fairy],[cute-charm magic-guard unaware],"{""attack"":70,""defense"":73,""hp"":95,""special-attack"":95,""special-defense"":90,""speed"":60}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png
37,vulpix,6,99,[fire],[flash-fire drought],"{""attack"":41,""defense"":40,""hp"":38,""special-attack"":50,""special-defense"":65,""speed"":65}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png
38,ninetales,11,199,[fire],[flash-fire drought],"{""attack"":76,""defense"":75,""hp"":73,""special-attack"":81,""special-defense"":100,""speed"":100}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png
39,jigglypuff,5,55,[normal fairy],[cute-charm competitive friend-guard],"{""attack"":45,""defense"":20,""hp"":115,""special-attack"":45,""special-defense"":25,""speed"":20}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png
40,wigglytuff,10,120,[normal fairy],[cute-charm competitive frisk],"{""attack"":70,""defense"":45,""hp"":140,""special-attack"":85,""special-defense"":50,""speed"":45}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png
41,zubat,8,75,[poison flying],[inner-focus infiltrator],"{""attack"":45,""defense"":35,""hp"":40,""special-attack"":30,""special-defense"":40,""speed"":55}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png
42,golbat,16,550,[poison flying],[inner-focus infiltrator],"{""attack"":80,""defense"":70,""hp"":75,""special-attack"":65,""special-defense"":75,""speed"":90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png
43,oddish,5,54,[grass poison],[chlorophyll run-away],"{""attack"":50,""defense"":55,""hp"":45,""special-attack"":75,""special-defense"":65,""speed"":30}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png
44,gloom,8,86,[grass poison],[chlorophyll stench],"{""attack"":65,""defense"":70,""hp"":60,""special-attack"":85,""special-defense"":75,""speed"":40}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png
45,vileplume,12,186,[grass poison],[chlorophyll effect-spore],"{""attack"":80,""defense"":85,""hp"":75,""special-attack"":110,""special-defense"":90,""speed"":50}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png
46,paras,3,54,[bug grass],[effect-spore dry-skin damp],"{""attack"":70,""defense"":55,""hp"":35,""special-attack"":45,""special-defense"":55,""speed"":25}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png
47,parasect,10,295,[bug grass],[effect-spore dry-skin damp],"{""attack"":95,""defense"":80,""hp"":60,""special-attack"":60,""special-defense"":80,""speed"":30}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png
48,venonat,10,300,[bug poison],[compound-eyes tinted-lens run-away],"{""attack"":55,""defense"":50,""hp"":60,""special-attack"":40,""special-defense"":55,""speed"":45}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png
49,venomoth,15,125,[bug poison],[shield-dust tinted-lens wonder-skin],"{""attack"":65,""defense"":60,""hp"":70,""special-attack"":90,""special-defense"":75,""speed"":90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png
50,diglett,2,8,[ground],[sand-veil arena-trap sand-force],"{""attack"":55,""defense"":25,""hp"":10,""special-attack"":35,""special-defense"":45,""speed"":95}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png
51,dugtrio,7,333,[ground],[sand-veil arena-trap sand-force],"{""attack"":100,""defense"":50,""hp"":35,""special-attack"":50,""special-defense"":70,""speed"":120}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png
52,meowth,4,42,[normal],[pickup technician unnerve],"{""attack"":45,""defense"":35,""hp"":40,""special-attack"":40,""special-defense"":40,""speed"":90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png
53,persian,10,320,[normal],[limber technician unnerve],"{""attack"":70,""defense"":60,""hp"":65,""special-attack"":65,""special-defense"":65,""speed"":115}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png
54,psyduck,8,196,[water],[damp cloud-nine swift-swim],"{""attack"":52,""defense"":48,""hp"":50,""special-attack"":65,""special-defense"":50,""speed"":55}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/54.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/54.png
55,golduck,17,766,[water],[damp cloud-nine swift-swim],"{""attack"":82,""defense"":78,""hp"":80,""special-attack"":95,""special-defense"":80,""speed"":85}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/55.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/55.png
56,mankey,5,280,[fighting],[vital-spirit anger-point defiant],"{""attack"":80,""defense"":35,""hp"":40,""special-attack"":35,""special-defense"":45,""speed"":70}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/56.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/56.png
57,primeape,10,320,[fighting],[vital-spirit anger-point defiant],"{""attack"":105,""defense"":60,""hp"":65,""special-attack"":60,""special-defense"":70,""speed"":95}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/57.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/57.png
58,growlithe,7,190,[fire],[intimidate flash-fire justified],"{""attack"":70,""defense"":45,""hp"":55,""special-attack"":70,""special-defense"":50,""speed"":60}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/58.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/58.png
59,arcanine,19,1550,[fire],[intimidate flash-fire justified],"{""attack"":110,""defense"":80,""hp"":90,""special-attack"":100,""special-defense"":80,""speed"":95}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/59.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/59.png
60,poliwag,6,124,[water],[water-absorb damp swift-swim],"{""attack"":50,""defense"":40,""hp"":40,""special-attack"":40,""special-defense"":40,""speed"":90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/60.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/60.png
61,poliwhirl,10,200,[water],[water-absorb damp swift-swim],"{""attack"":65,""defense"":65,""hp"":65,""special-attack"":50,""special-defense"":50,""speed"":90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/61.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/61.png
62,poliwrath,13,540,[water fighting],[water-absorb damp swift-swim],"{""attack"":95,""defense"":95,""hp"":90,""special-attack"":70,""special-defense"":90,""speed"":70}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/62.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/62.png
63,abra,9,195,[psychic],[synchronize inner-focus magic-guard],"{""attack"":20,""defense"":15,""hp"":25,""special-attack"":105,""special-defense"":55,""speed"":90}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/63.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/63.png
64,kadabra,13,565,[psychic],[synchronize inner-focus magic-guard],"{""attack"":35,""defense"":30,""hp"":40,""special-attack"":120,""special-defense"":70,""speed"":105}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/64.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/64.png
65,alakazam,15,480,[psychic],[synchronize inner-focus magic-guard],"{""attack"":50,""defense"":45,""hp"":55,""special-attack"":135,""special-defense"":95,""speed"":120}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/65.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/65.png
66,machop,8,195,[fighting],[guts no-guard steadfast],"{""attack"":80,""defense"":50,""hp"":70,""special-attack"":35,""special-defense"":35,""speed"":35}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/66.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/66.png
67,machoke,15,705,[fighting],[guts no-guard steadfast],"{""attack"":100,""defense"":70,""hp"":80,""special-attack"":50,""special-defense"":60,""speed"":45}",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/67.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/67.png
